measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Mongolia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.013941132803433547,0.01851948483520961,0.010171708054743555
DALYs (Disability-Adjusted Life Years),Dominica,Both,All Ages,Nutritional deficiencies,Percent,1995,0.015213575777948891,0.019114172627629863,0.012185183837630804
DALYs (Disability-Adjusted Life Years),Tonga,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02460991399961238,0.03125239812948675,0.01894782594018765
DALYs (Disability-Adjusted Life Years),Djibouti,Both,All Ages,Nutritional deficiencies,Percent,1990,0.10655374658552384,0.1628995780516434,0.061688341359423665
DALYs (Disability-Adjusted Life Years),Burkina Faso,Both,All Ages,Nutritional deficiencies,Percent,1990,0.032107542516388095,0.04674204688997178,0.021395420547275515
DALYs (Disability-Adjusted Life Years),Comoros,Both,All Ages,Nutritional deficiencies,Percent,1990,0.049936880690569854,0.07133765106671613,0.028235878981372246
DALYs (Disability-Adjusted Life Years),Pakistan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03202794547934597,0.04123024564804645,0.0243498788157388
DALYs (Disability-Adjusted Life Years),Norway,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004090251636690452,0.0054407688986540335,0.002926386789193101
DALYs (Disability-Adjusted Life Years),Antigua and Barbuda,Both,All Ages,Nutritional deficiencies,Percent,1990,0.021929434121622668,0.027485185598519372,0.017453130012952022
DALYs (Disability-Adjusted Life Years),Jordan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.016250499583316643,0.02252224783473984,0.011129086936819153
DALYs (Disability-Adjusted Life Years),Guinea-Bissau,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04302997989302266,0.06308588179568864,0.027372756598281145
DALYs (Disability-Adjusted Life Years),Thailand,Both,All Ages,Nutritional deficiencies,Percent,1990,0.013614591888397476,0.017353117512710476,0.010627564885003323
DALYs (Disability-Adjusted Life Years),Kuwait,Both,All Ages,Nutritional deficiencies,Percent,1990,0.013481868285291394,0.017965400034318516,0.009474895096774365
DALYs (Disability-Adjusted Life Years),Australia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0043311202292886245,0.006221801658831978,0.003098362106942999
DALYs (Disability-Adjusted Life Years),South Africa,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03120027638749481,0.0375059053984101,0.02574160877182916
DALYs (Disability-Adjusted Life Years),Greece,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0036492622988326985,0.005098932374018799,0.0024721684315175967
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,All Ages,Nutritional deficiencies,Percent,1990,0.038707508984949665,0.054383012694050985,0.024783625388341113
DALYs (Disability-Adjusted Life Years),Somalia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.08199699349712261,0.12539945543980408,0.05131110103292629
DALYs (Disability-Adjusted Life Years),United States of America,Both,All Ages,Nutritional deficiencies,Percent,1990,0.003431636826653884,0.004419672603750158,0.0026410465846728793
DALYs (Disability-Adjusted Life Years),Denmark,Both,All Ages,Nutritional deficiencies,Percent,1995,0.0036762388463110044,0.004843566791867541,0.0027424738963024485
DALYs (Disability-Adjusted Life Years),Portugal,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006050767193611013,0.008055779030113208,0.004524167510960536
DALYs (Disability-Adjusted Life Years),Panama,Both,All Ages,Nutritional deficiencies,Percent,1995,0.02938881532494452,0.034050518271719926,0.02532950058797849
DALYs (Disability-Adjusted Life Years),Vanuatu,Both,All Ages,Nutritional deficiencies,Percent,1990,0.023431546011295563,0.030357928319066738,0.017502287248444527
DALYs (Disability-Adjusted Life Years),Grenada,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02292924719417203,0.02794022711378203,0.018624987923970857
DALYs (Disability-Adjusted Life Years),Montenegro,Both,All Ages,Nutritional deficiencies,Percent,1990,0.008006512952873692,0.01125257045399903,0.00554714026300436
DALYs (Disability-Adjusted Life Years),Colombia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.020121927301056417,0.02320504393875421,0.01733698333712406
DALYs (Disability-Adjusted Life Years),Eswatini,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04272168774131529,0.057897967077667825,0.029164795376063576
DALYs (Disability-Adjusted Life Years),Liberia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03937371859579392,0.05605477327410046,0.027067891023936322
DALYs (Disability-Adjusted Life Years),Timor-Leste,Both,All Ages,Nutritional deficiencies,Percent,1990,0.07659978980017815,0.12953789706825247,0.02158059569678
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,All Ages,Nutritional deficiencies,Percent,1995,0.03182552703399267,0.03896647874133178,0.025617903278353452
DALYs (Disability-Adjusted Life Years),Cameroon,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02176458053650826,0.029830642377640014,0.015249074911190982
DALYs (Disability-Adjusted Life Years),Netherlands,Both,All Ages,Nutritional deficiencies,Percent,1995,0.004578627704964777,0.005899102349823204,0.0034304703644724515
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Both,All Ages,Nutritional deficiencies,Percent,1995,0.024062106365464977,0.03063704314390518,0.018350689578495644
DALYs (Disability-Adjusted Life Years),Lithuania,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006308410467626632,0.008455906860514102,0.004527210158208857
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,All Ages,Nutritional deficiencies,Percent,1995,0.044486595824139184,0.05823477092628682,0.03320248684634131
DALYs (Disability-Adjusted Life Years),Uzbekistan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.02686489141386345,0.03537482878399047,0.01962015273791455
DALYs (Disability-Adjusted Life Years),Guyana,Both,All Ages,Nutritional deficiencies,Percent,1990,0.044924167930995046,0.05177994133924711,0.03798003923665133
DALYs (Disability-Adjusted Life Years),Bahamas,Both,All Ages,Nutritional deficiencies,Percent,1990,0.01964655374679446,0.025438277114094486,0.015129759430144829
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Both,All Ages,Nutritional deficiencies,Percent,1995,0.010738691887505071,0.013754161772637072,0.008387525780656869
DALYs (Disability-Adjusted Life Years),Togo,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03279695587789828,0.046638868863118646,0.022952444834218082
DALYs (Disability-Adjusted Life Years),Spain,Both,All Ages,Nutritional deficiencies,Percent,1990,0.005983273410301969,0.008265384129056728,0.004298510697871461
DALYs (Disability-Adjusted Life Years),Syrian Arab Republic,Both,All Ages,Nutritional deficiencies,Percent,1995,0.020946332030858068,0.02752712958792829,0.015707229326056227
DALYs (Disability-Adjusted Life Years),Myanmar,Both,All Ages,Nutritional deficiencies,Percent,1995,0.020561176498913,0.02904503525217008,0.014892258946089462
DALYs (Disability-Adjusted Life Years),Monaco,Both,All Ages,Nutritional deficiencies,Percent,1990,0.0031666420628486203,0.004305255797454635,0.0022345808129259695
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,All Ages,Nutritional deficiencies,Percent,1990,0.022004869857203818,0.028607140772608893,0.016821770317141632
DALYs (Disability-Adjusted Life Years),El Salvador,Both,All Ages,Nutritional deficiencies,Percent,1990,0.019911380652176795,0.02322084096231136,0.01672465675995399
DALYs (Disability-Adjusted Life Years),Lebanon,Both,All Ages,Nutritional deficiencies,Percent,1990,0.009942562602074519,0.0137282237278238,0.0068810932572928455
DALYs (Disability-Adjusted Life Years),Costa Rica,Both,All Ages,Nutritional deficiencies,Percent,1990,0.01438567799759514,0.01871123360599352,0.011033149827121237
DALYs (Disability-Adjusted Life Years),Kazakhstan,Both,All Ages,Nutritional deficiencies,Percent,1995,0.015613211684648989,0.020986930716161197,0.011221483389829737
DALYs (Disability-Adjusted Life Years),Serbia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.007848929658482794,0.01102503846297474,0.0053700629390907315
DALYs (Disability-Adjusted Life Years),Poland,Both,All Ages,Nutritional deficiencies,Percent,1990,0.008123901929118557,0.011323431611331442,0.005534643392993619
DALYs (Disability-Adjusted Life Years),New Zealand,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004171613430091352,0.005753603450897629,0.0029668103174307608
DALYs (Disability-Adjusted Life Years),Tajikistan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.013243733193696216,0.017846165288188644,0.00932029469219551
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,All Ages,Nutritional deficiencies,Percent,1995,0.018252401611775573,0.023689565555744016,0.013450087270147223
DALYs (Disability-Adjusted Life Years),Benin,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05014741310918702,0.07613372908473133,0.03280764760942774
DALYs (Disability-Adjusted Life Years),United Arab Emirates,Both,All Ages,Nutritional deficiencies,Percent,1990,0.014919228637336917,0.020755633356766043,0.010426892108505932
DALYs (Disability-Adjusted Life Years),Eritrea,Both,All Ages,Nutritional deficiencies,Percent,1990,0.1021450890178062,0.14931997285345,0.06524729259837114
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,All Ages,Nutritional deficiencies,Percent,1990,0.009848997498191583,0.01354321243336151,0.007027861319094546
DALYs (Disability-Adjusted Life Years),Haiti,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04869849691809175,0.07005277409100223,0.03391643750117756
DALYs (Disability-Adjusted Life Years),Eswatini,Both,All Ages,Nutritional deficiencies,Percent,1995,0.030572533586608677,0.04448492714636727,0.019895122558656567
DALYs (Disability-Adjusted Life Years),Cambodia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05238809737543843,0.08104366016844723,0.02548057194762654
DALYs (Disability-Adjusted Life Years),Finland,Both,All Ages,Nutritional deficiencies,Percent,1995,0.0037607400395504244,0.005011282030809264,0.002610629266351342
DALYs (Disability-Adjusted Life Years),Libya,Both,All Ages,Nutritional deficiencies,Percent,1990,0.01305136186046538,0.018375353227361363,0.008853127505929212
DALYs (Disability-Adjusted Life Years),Switzerland,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004325595685413499,0.005507275782069097,0.00332698571252
DALYs (Disability-Adjusted Life Years),Samoa,Both,All Ages,Nutritional deficiencies,Percent,1995,0.01791546211317285,0.023789134103211033,0.01326549259497791
DALYs (Disability-Adjusted Life Years),Canada,Both,All Ages,Nutritional deficiencies,Percent,1995,0.003667745509980857,0.0048426763801611376,0.002770629649666535
DALYs (Disability-Adjusted Life Years),Cabo Verde,Both,All Ages,Nutritional deficiencies,Percent,1990,0.045357375642274995,0.0584251020064828,0.03483099143253573
DALYs (Disability-Adjusted Life Years),Norway,Both,All Ages,Nutritional deficiencies,Percent,1995,0.0037847093459513425,0.005109330912941731,0.0027139539864404253
DALYs (Disability-Adjusted Life Years),Sweden,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004196405679192763,0.005601452552173491,0.003017150393103566
DALYs (Disability-Adjusted Life Years),Tuvalu,Both,All Ages,Nutritional deficiencies,Percent,1990,0.028545543071582045,0.03720659489638804,0.021394875976987845
DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Nutritional deficiencies,Percent,1995,0.014267938326393184,0.017651908635049868,0.011584237529140682
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,All Ages,Nutritional deficiencies,Percent,1995,0.01639384850357646,0.022187104413042516,0.011418443748050419
DALYs (Disability-Adjusted Life Years),Mali,Both,All Ages,Nutritional deficiencies,Percent,1990,0.06123568301326829,0.08656313926214666,0.040870860878402304
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All Ages,Nutritional deficiencies,Percent,1995,0.019596155748115043,0.02238993908861707,0.017342748570134264
DALYs (Disability-Adjusted Life Years),Iraq,Both,All Ages,Nutritional deficiencies,Percent,1995,0.016557598633016427,0.02193214087875313,0.012276194858804027
DALYs (Disability-Adjusted Life Years),Czechia,Both,All Ages,Nutritional deficiencies,Percent,1995,0.004108715437677037,0.005921269578622445,0.0027629773045737336
DALYs (Disability-Adjusted Life Years),Tunisia,Both,All Ages,Nutritional deficiencies,Percent,1995,0.009416268688463101,0.012420389563261294,0.007002976990947086
DALYs (Disability-Adjusted Life Years),Pakistan,Both,All Ages,Nutritional deficiencies,Percent,1995,0.03084815326682938,0.039458295349563834,0.023325744956256108
DALYs (Disability-Adjusted Life Years),Albania,Both,All Ages,Nutritional deficiencies,Percent,1990,0.017275654924144075,0.02230774245166731,0.012962687808365132
DALYs (Disability-Adjusted Life Years),Ghana,Both,All Ages,Nutritional deficiencies,Percent,1995,0.03774876150819482,0.05231958127517407,0.027653592915482646
DALYs (Disability-Adjusted Life Years),Turkmenistan,Both,All Ages,Nutritional deficiencies,Percent,1990,0.013645491394657339,0.0185127568418221,0.009975468050188467
DALYs (Disability-Adjusted Life Years),Republic of Korea,Both,All Ages,Nutritional deficiencies,Percent,1995,0.0155318416932718,0.0205889213425255,0.011426037614293167
DALYs (Disability-Adjusted Life Years),Morocco,Both,All Ages,Nutritional deficiencies,Percent,1990,0.015789959957741902,0.020539809328008748,0.011692318743061687
DALYs (Disability-Adjusted Life Years),Angola,Both,All Ages,Nutritional deficiencies,Percent,1990,0.08128945606025487,0.14360790027941825,0.044164283845600574
DALYs (Disability-Adjusted Life Years),Slovakia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.00626714969316797,0.008824014097372117,0.0042592815921621415
DALYs (Disability-Adjusted Life Years),Yemen,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04391105387692209,0.11151656703051072,0.021714820684673123
DALYs (Disability-Adjusted Life Years),Rwanda,Both,All Ages,Nutritional deficiencies,Percent,1995,0.04018753431625189,0.058471713021917934,0.02758833382157308
DALYs (Disability-Adjusted Life Years),Andorra,Both,All Ages,Nutritional deficiencies,Percent,1990,0.005022736557866322,0.006904570737058891,0.003486823231706123
DALYs (Disability-Adjusted Life Years),Romania,Both,All Ages,Nutritional deficiencies,Percent,1990,0.007672013919382595,0.010508151748956505,0.005208499796361466
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All Ages,Nutritional deficiencies,Percent,1995,0.027014546641738125,0.03062726739707106,0.023731114409200275
DALYs (Disability-Adjusted Life Years),Grenada,Both,All Ages,Nutritional deficiencies,Percent,1995,0.020480652965141774,0.02551567983128028,0.016205764975012065
DALYs (Disability-Adjusted Life Years),Ethiopia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05767065653064471,0.08025958709692312,0.04236556424466667
DALYs (Disability-Adjusted Life Years),Guatemala,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05911565932573906,0.0629111571365442,0.05544791706250895
DALYs (Disability-Adjusted Life Years),United States Virgin Islands,Both,All Ages,Nutritional deficiencies,Percent,1990,0.017410995735679658,0.022859839167615817,0.013218906789063505
DALYs (Disability-Adjusted Life Years),Fiji,Both,All Ages,Nutritional deficiencies,Percent,1990,0.022022877279653345,0.028922822247119496,0.016696662294954326
DALYs (Disability-Adjusted Life Years),Mongolia,Both,All Ages,Nutritional deficiencies,Percent,1995,0.015084221313266626,0.020182046847685493,0.010836546917347617
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.03213903216588053,0.03949892052906906,0.025972955514748486
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,All Ages,Nutritional deficiencies,Percent,1990,0.006062862858581741,0.008315730030699041,0.004373243649172774
DALYs (Disability-Adjusted Life Years),Togo,Both,All Ages,Nutritional deficiencies,Percent,1995,0.030895048492909444,0.042769140644878946,0.022133142620255786
DALYs (Disability-Adjusted Life Years),Hungary,Both,All Ages,Nutritional deficiencies,Percent,1995,0.003793633302221129,0.00532254548045107,0.0025319187830161664
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,All Ages,Nutritional deficiencies,Percent,1995,0.3078243694093613,0.5818602925695043,0.12450484720350624
DALYs (Disability-Adjusted Life Years),Central African Republic,Both,All Ages,Nutritional deficiencies,Percent,1990,0.028314995132385414,0.042472900273975336,0.018854252117073114
DALYs (Disability-Adjusted Life Years),Guinea,Both,All Ages,Nutritional deficiencies,Percent,1995,0.044088988842542545,0.06076745778065625,0.03117542669535396
DALYs (Disability-Adjusted Life Years),Nepal,Both,All Ages,Nutritional deficiencies,Percent,1995,0.04508133998379028,0.06199186317806558,0.03286037991747468
DALYs (Disability-Adjusted Life Years),Slovenia,Both,All Ages,Nutritional deficiencies,Percent,1990,0.005660805422237615,0.008003390846569014,0.0037622339518814584
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,Nutritional deficiencies,Percent,1995,0.010765262617347,0.015072585087808794,0.007438287844000166
DALYs (Disability-Adjusted Life Years),Jordan,Both,All Ages,Nutritional deficiencies,Percent,1995,0.016052896458968565,0.022130744252466243,0.011171001520460857
DALYs (Disability-Adjusted Life Years),Iceland,Both,All Ages,Nutritional deficiencies,Percent,1990,0.004387543100674628,0.005903375717838121,0.003142623222226602
DALYs (Disability-Adjusted Life Years),Belarus,Both,All Ages,Nutritional deficiencies,Percent,1995,0.006169472708230314,0.008434667368453672,0.0044310299278978865
DALYs (Disability-Adjusted Life Years),San Marino,Both,All Ages,Nutritional deficiencies,Percent,1995,0.004466543681255721,0.005918453796009705,0.0032228647788684235
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,All Ages,Nutritional deficiencies,Percent,1990,0.012356957963612265,0.016796302065431007,0.008588160680588722
DALYs (Disability-Adjusted Life Years),Djibouti,Both,All Ages,Nutritional deficiencies,Percent,1995,0.1016455970936287,0.15676970481772823,0.057497064004777776
DALYs (Disability-Adjusted Life Years),Burundi,Both,All Ages,Nutritional deficiencies,Percent,1995,0.038847233923260886,0.05622293833425064,0.02521111607398919
DALYs (Disability-Adjusted Life Years),Mauritania,Both,All Ages,Nutritional deficiencies,Percent,1990,0.05895086675594915,0.09256116272217844,0.03264525293045825
DALYs (Disability-Adjusted Life Years),Barbados,Both,All Ages,Nutritional deficiencies,Percent,1990,0.014449610875397825,0.01813747855644454,0.011451670108610326
DALYs (Disability-Adjusted Life Years),United Republic of Tanzania,Both,All Ages,Nutritional deficiencies,Percent,1990,0.051293729239553415,0.06691266307700511,0.038852159119413546
DALYs (Disability-Adjusted Life Years),Palestine,Both,All Ages,Nutritional deficiencies,Percent,1990,0.012864775284062064,0.01782677470133228,0.009141726040466792
DALYs (Disability-Adjusted Life Years),United States of America,Both,All Ages,Nutritional deficiencies,Percent,1995,0.003302604352588117,0.004242160758425015,0.002539999972401432
DALYs (Disability-Adjusted Life Years),Kenya,Both,All Ages,Nutritional deficiencies,Percent,1990,0.04859725566235035,0.06492197932876127,0.03849225327826008
DALYs (Disability-Adjusted Life Years),Guam,Both,All Ages,Nutritional deficiencies,Percent,1995,0.017450621477110725,0.02304895174520917,0.012721115324029815
DALYs (Disability-Adjusted Life Years),Estonia,Both,All Ages,Nutritional deficiencies,Percent,1995,0.0054445695110852755,0.00758199980443776,0.0038519322635475212
